Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Estimates Start After
Cyprus,Volume of Imports of goods,Percent change,,"Source: National Statistics Office. National Accounts Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Based on National Accounts Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.268,-0.802,-1.001,-6.087,9.614,5.948,9.822,10.493,-17.284,6.814,-3.283,-9.234,-14.866,8.711,2014
Cyprus,Volume of exports of goods and services,Percent change,,"Source: National Statistics Office. National Accounts Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Based on National Accounts Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 08/2015",9.317,-1.636,-2.302,-3.337,0.473,-4.628,7.845,10.512,17.036,10.906,7.735,-7.558,18.919,-10.878,7.042,-20.225,3.059,3.517,1.85,8.931,10.456,2.176,-4.093,-1.396,2.491,2.052,1.266,5.283,-1.725,-7.277,2.631,4.212,-1.665,-4.985,5.719,2014
Cyprus,Volume of exports of goods,Percent change,,"Source: National Statistics Office. National Accounts Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Based on National Accounts Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.126,-1.161,-16.429,-8.851,9.662,-13.924,-6.728,4.535,-11.022,9.895,21.126,1.214,3.92,13.479,2014
Cyprus,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor force survey. Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.825,3.9,3.517,4.125,4.617,5.333,4.517,3.9,3.658,5.408,6.267,7.917,11.875,15.875,16.125,2014
Cyprus,Employment,Persons,Millions,"Source: Eurostat, Labor force survey. Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 08/2015",n/a,0.239,0.241,0.242,0.245,0.248,0.25,0.253,0.261,0.271,0.274,0.267,0.278,0.279,0.283,0.296,0.298,0.299,0.304,0.301,0.31,0.319,0.326,0.338,0.347,0.358,0.369,0.392,0.399,0.399,0.404,0.398,0.389,0.365,0.365,2014
Cyprus,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary domestic currency: Euro Data last updated: 08/2015,0.517,0.524,0.53,0.537,0.544,0.55,0.557,0.563,0.569,0.577,0.589,0.605,0.621,0.636,0.65,0.656,0.666,0.675,0.683,0.691,0.698,0.706,0.714,0.723,0.733,0.744,0.758,0.776,0.797,0.819,0.84,0.862,0.872,0.881,0.891,2014
Cyprus,General government revenue,National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.283,2.35,2.46,2.766,2.945,3.467,3.836,3.954,4.429,4.859,5.589,6.126,7.19,7.475,6.843,7.186,7.212,7.039,6.808,7.031,2014
Cyprus,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,29.785,29.519,29.516,30.645,30.419,32.908,33.822,33.509,34.723,35.382,38.04,38.684,41.495,39.825,37.142,37.697,37.011,36.264,37.572,40.164,2014
Cyprus,General government total expenditure,National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.338,2.586,2.864,3.115,3.339,3.703,4.075,4.445,5.188,5.373,5.918,6.293,6.625,7.31,7.857,8.098,8.334,8.169,7.605,7.071,2014
Cyprus,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.504,32.475,34.354,34.513,34.487,35.151,35.933,37.667,40.672,39.127,40.284,39.736,38.232,38.948,42.65,42.479,42.77,42.084,41.972,40.391,2014
Cyprus,General government net lending/borrowing,National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.055,-0.235,-0.403,-0.349,-0.394,-0.236,-0.239,-0.491,-0.759,-0.514,-0.33,-0.167,0.566,0.165,-1.015,-0.912,-1.122,-1.13,-0.797,-0.04,2014
Cyprus,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.719,-2.955,-4.838,-3.868,-4.069,-2.243,-2.111,-4.159,-5.949,-3.745,-2.244,-1.051,3.264,0.877,-5.508,-4.782,-5.758,-5.82,-4.4,-0.227,2014
Cyprus,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,General government primary net lending/borrowing,National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.018,-0.13,-0.282,-0.166,-0.192,0.01,-0.05,-0.23,-0.419,-0.186,0.073,0.219,0.942,0.591,-0.64,-0.609,-0.788,-0.634,-0.361,0.406,2014
Cyprus,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.24,-1.633,-3.378,-1.843,-1.981,0.099,-0.439,-1.946,-3.283,-1.354,0.496,1.38,5.435,3.149,-3.471,-3.196,-4.045,-3.265,-1.994,2.317,2014
Cyprus,General government net debt,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,General government gross debt,National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.59,3.896,4.478,4.982,5.417,5.931,6.568,7.246,8.093,8.963,9.491,9.445,9.307,8.388,9.865,10.77,12.869,15.431,18.519,18.818,2014
Cyprus,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.835,48.937,53.723,55.194,55.952,56.296,57.908,61.411,63.451,65.275,64.601,59.64,53.713,44.692,53.544,56.496,66.041,79.495,102.207,107.49,2014
Cyprus,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 08/2015",1.393,1.604,1.877,2.082,2.449,2.714,2.93,3.262,3.649,4.132,4.68,4.898,5.683,6.017,6.709,7.664,7.962,8.336,9.026,9.681,10.535,11.341,11.8,12.755,13.732,14.691,15.837,17.328,18.769,18.423,19.063,19.487,19.411,18.119,17.506,2014
Cyprus,Current account balance,U.S. dollars,Billions,"Source: Eurostat Latest actual data: 2014 BOP Manual used: Balance of Payments Manual, fifth edition (BPM5) Primary domestic currency: Euro Data last updated: 08/2015",-0.258,-0.172,-0.178,-0.205,-0.222,-0.18,-0.019,-0.008,-0.108,-0.249,-0.154,-0.42,-0.638,0.11,0.074,-0.205,-0.468,-0.418,0.292,-0.17,-0.489,-0.316,-0.393,-0.297,-0.788,-0.995,-1.284,-2.565,-3.943,-2.518,-2.27,-0.837,-1.565,-0.381,-1.041,2014
Cyprus,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-11.184,-7.678,-7.697,-8.852,-9.073,-6.916,-0.571,-0.194,-2.349,-5.083,-2.576,-6.797,-8.612,1.549,0.931,-2.069,-4.681,-4.404,2.855,-1.631,-4.927,-3.057,-3.467,-2.057,-4.589,-5.363,-6.352,-10.763,-14.274,-9.814,-8.976,-3.088,-6.27,-1.584,-4.475,2014
Estonia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2013 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.881,7.752,7.919,8.34,9.324,9.708,9.625,10.642,11.316,12.003,12.893,13.705,14.99,16.53,17.81,16.845,14.365,14.718,15.835,16.655,16.916,17.408,2013
Estonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.642,2.155,5.324,11.799,4.117,-0.856,10.568,6.329,6.076,7.416,6.295,9.374,10.272,7.748,-5.419,-14.724,2.463,7.583,5.183,1.568,2.906,2013
Estonia,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2013 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.469,2.018,2.779,3.649,4.495,5.049,5.379,6.171,6.976,7.774,8.709,9.708,11.262,13.522,16.246,16.517,14.146,14.718,16.668,18.006,19.015,19.963,2013
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.739,2.435,3.797,4.745,5.072,5.621,5.741,5.706,6.26,7.345,9.852,12.071,14.024,16.987,22.265,24.285,19.712,19.542,23.191,23.159,25.255,26.506,2013
Estonia,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.638,26.031,35.1,43.755,48.205,52.01,55.883,57.984,61.652,64.764,67.545,70.832,75.133,81.803,91.219,98.054,98.477,100,105.261,108.11,112.405,114.675,2013
Estonia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,214.72","5,248.36","5,468.40","5,852.01","6,631.79","6,968.88","6,978.51","7,756.31","8,278.02","8,817.91","9,508.16","10,143.89","11,124.06","12,292.49","13,267.38","12,562.15","10,716.61","10,982.89","11,815.15","12,866.29","13,149.34","13,194.26",2013
Estonia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,971.91,"1,366.22","1,919.42","2,560.56","3,196.86","3,624.52","3,899.77","4,497.41","5,103.57","5,710.84","6,422.26","7,185.17","8,357.86","10,055.68","12,102.42","12,317.73","10,553.35","10,982.89","12,436.73","13,909.79","14,780.53","15,130.53",2013
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,150.73","1,649.00","2,621.99","3,329.19","3,607.16","4,034.85","4,162.74","4,158.76","4,579.15","5,395.73","7,264.90","8,934.76","10,407.45","12,632.97","16,585.72","18,110.38","14,706.00","14,581.89","17,304.36","17,890.74","19,630.85","20,090.02",2013
Estonia,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-13.252,-12.133,-5.984,-6.676,-12.051,-7.767,-7.057,-6.494,-4.513,-3.121,1.696,8.355,13.638,5.318,-11.602,-10.72,-5.156,-2.082,-2.348,-0.351,2013
Estonia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.07,11.12,11.596,12.436,14.142,14.884,14.982,16.943,18.425,19.845,21.742,23.746,26.807,30.469,33.704,32.502,27.927,28.964,31.804,34.069,35.167,36.784,2013
Estonia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,324.61","7,528.77","8,008.02","8,726.18","10,058.26","10,684.21","10,862.71","12,348.13","13,479.05","14,578.57","16,033.20","17,575.59","19,893.95","22,659.03","25,106.83","24,238.61","20,834.66","21,613.25","23,731.02","26,318.30","27,335.75","27,879.72",2013
Estonia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.033,0.031,0.031,0.031,0.034,0.034,0.033,0.034,0.036,0.037,0.038,0.038,0.04,0.042,0.043,0.039,0.034,0.033,0.034,0.035,0.034,0.034,2011
Estonia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.133,0.181,0.24,0.293,0.318,0.339,0.359,0.364,0.379,0.392,0.401,0.409,0.42,0.444,0.482,0.508,0.507,0.508,0.524,0.529,0.541,0.543,2013
Estonia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2013 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.616,27.516,28.664,29.117,34.506,33.866,27.458,28.844,30.099,33.124,35.277,34.539,33.185,39.347,39.292,30.718,20.711,21.265,25.106,28.07,27.6,27.965,2013
Estonia,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2013 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.237,20.061,24.242,22.055,21.402,23.24,21.914,24.006,23.798,22.556,22.388,22.734,24.713,24.775,24.503,22.502,23.132,23.087,26.443,27.66,27.512,27.415,2013
Estonia,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2015,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.733,40.95,52.826,65.007,72.276,78.208,80.794,84.034,88.761,91.948,93.223,96.048,100,104.445,111.489,123.314,123.558,126.947,133.395,139.022,143.534,144.252,2013
Estonia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.656,29.003,23.058,11.182,8.207,3.306,4.011,5.625,3.591,1.387,3.03,4.114,4.445,6.744,10.606,0.198,2.742,5.08,4.218,3.246,0.5,2013
Estonia,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2015,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.772,45.439,58.557,67.243,75.637,78.867,81.93,86.07,89.69,92.14,93.26,97.74,101.3,106.45,116.82,125.61,123.26,129.94,135.26,140.18,143.05,143.024,2013
Estonia,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-6.835,28.871,14.833,12.483,4.27,3.884,5.052,4.206,2.732,1.216,4.804,3.642,5.084,9.742,7.524,-1.871,5.419,4.094,3.637,2.047,-0.018,2013
Estonia,Volume of imports of goods and services,Percent change,,"Source: Central Bank and Statistics of Estonia Latest actual data: 2013 Base year: 2010. Chain-weighted volumes Methodology used to derive volumes: Other Formula used to derive volumes: Chain-weighted volumes Chain-weighted: Yes, from 1995 Trade System: General trade Oil coverage: the oil and non-oil decomposition in real terms are based on WEO provided prices Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37.324,19.382,2.457,11.986,11.339,-9.317,10.129,12.365,13.286,14.003,16.136,25.369,12.355,12.982,-6.16,-30.606,20.972,26.49,11.809,3.282,2.521,2013
Estonia,Volume of Imports of goods,Percent change,,"Source: Central Bank and Statistics of Estonia Latest actual data: 2013 Base year: 2010. Chain-weighted volumes Methodology used to derive volumes: Other Formula used to derive volumes: Chain-weighted volumes Chain-weighted: Yes, from 1995 Trade System: General trade Oil coverage: the oil and non-oil decomposition in real terms are based on WEO provided prices Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52.983,19.948,1.833,15.941,9.095,-11.7,14.669,13.631,15.579,17.783,16.559,14.773,24.466,13.817,-7.045,-32.551,23.232,28.725,11.789,1.362,2.237,2013
Estonia,Volume of exports of goods and services,Percent change,,"Source: Central Bank and Statistics of Estonia Latest actual data: 2013 Base year: 2010. Chain-weighted volumes Methodology used to derive volumes: Other Formula used to derive volumes: Chain-weighted volumes Chain-weighted: Yes, from 1995 Trade System: General trade Oil coverage: the oil and non-oil decomposition in real terms are based on WEO provided prices Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.9,19.371,-2.468,12.281,10.426,-3.639,10.807,6.008,2.512,10.089,17.272,47.345,-11.095,12.591,0.892,-20.353,24.319,24.856,6.154,2.428,2.846,2013
Estonia,Volume of exports of goods,Percent change,,"Source: Central Bank and Statistics of Estonia Latest actual data: 2013 Base year: 2010. Chain-weighted volumes Methodology used to derive volumes: Other Formula used to derive volumes: Chain-weighted volumes Chain-weighted: Yes, from 1995 Trade System: General trade Oil coverage: the oil and non-oil decomposition in real terms are based on WEO provided prices Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28.192,20.709,-3.915,17.608,14.729,-6.635,21.363,9.998,8.815,14.243,18.278,26.73,14.866,16.609,-1.21,-23.9,34.901,33.622,6.263,2.675,1.78,2013
Estonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2015,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.526,7.546,9.645,9.881,9.634,9.831,12.201,14.602,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,2013
Estonia,Employment,Persons,Millions,Source: National Statistics Office Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2015,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.713,0.696,0.659,0.649,0.62,0.61,0.582,0.585,0.59,0.59,0.603,0.602,0.616,0.652,0.658,0.656,0.594,0.568,0.603,0.615,0.621,0.625,2013
Estonia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2013 Primary domestic currency: Euro Data last updated: 09/2015,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.511,1.477,1.448,1.425,1.406,1.393,1.379,1.372,1.367,1.361,1.356,1.351,1.348,1.345,1.342,1.341,1.34,1.34,1.34,1.294,1.286,1.319,2013
Estonia,General government revenue,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2013 Fiscal assumptions: The forecast, which is cash-, not accrual-, based, incorporates the authorities? 2014 budget, adjusted for newly available information and for the staff?s macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Hybrid of 1986 and 2001 manuals used Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. This is the format of data provided by the authorities. Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.11,1.37,1.752,1.992,1.988,2.21,2.42,2.801,3.181,3.451,3.938,4.829,5.844,5.961,5.986,5.972,6.407,6.961,7.199,7.666,2013
Estonia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39.931,37.552,38.972,39.458,36.968,35.811,34.696,36.033,36.528,35.549,34.965,35.715,35.97,36.092,42.313,40.576,38.438,38.657,37.859,38.4,2013
Estonia,General government total expenditure,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2013 Fiscal assumptions: The forecast, which is cash-, not accrual-, based, incorporates the authorities? 2014 budget, adjusted for newly available information and for the staff?s macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Hybrid of 1986 and 2001 manuals used Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. This is the format of data provided by the authorities. Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.121,1.41,1.623,1.967,2.179,2.225,2.426,2.781,3.036,3.291,3.757,4.5,5.46,6.44,6.258,5.945,6.235,7.01,7.287,7.539,2013
Estonia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.345,38.625,36.114,38.959,40.516,36.058,34.776,35.779,34.856,33.905,33.36,33.278,33.609,38.99,44.242,40.389,37.41,38.93,38.325,37.766,2013
